index,label,text
68,0,whenever get sad about how things are going now just think of how awesome the future looks to be secondsemester drumcorps college
69,1,asked god to protect me from my enemies shortly after started losing friends flushedface hundredpoints or naah
70,1,just delivered user cronuts to user hmmm its for customer hope url
71,1,such you still have to praisehim
72,0,hey heyy wanna be rockstar vscocam hero vsocam hero spiderman url
73,1,user user awk moment when tweeted first fakefan
74,0,waa mockingjay part tahon depan meh nov wtvr night at the museum mustwatchb url
75,1,user user user user user nice to see the ambulance service is so important to our mps
76,1,love finals week justkidding stressed
77,0,user fucking copycat although you re name is mint and the act we share it is probably cause for alcohol filled celebration
78,0,literally cried when woke up because know what this day has in store for me ready justshootmeknow
79,0,user because disagree you trading three picks for one when you have glaring holes at numerous positions is ass backwards
80,1,user user oh that makes it all better
81,0,why didn start watching the tudors earlier iloveit
82,0,user url christmas gift get started at making money in social media user url
83,0,don knw how to react everytime sum says me being in wheelchair inspires them im just living they same you are dude
84,0,get aht tahn the made in pgh gift guide url via user
85,0,on my lunch break so sleepy sleepingface
86,1,work trains thegrind london business myhappyface url
87,1,dude said better think hard so he can take me to cheddars lmao
88,0,my christmas ritual part one url
89,0,overcast at creso todayimloving beachwalk crescenthead url
90,0,can end fast enough stupid dead battery
91,1,not even am and can already see this is going to be wonderful day needmorecoffee
92,1,have an idea how about operators don ever describe race and police have to wear color blind glasses
93,1,user but russell is good christian fella he wouldn do that
94,0,apparently my youth group thinks are you kidding me is my default expression or nomal face areyoukiddingme url
95,1,user psa hey jay tuned in when said why all the cocaine talk today after tweeting coke joke saw it escobar th
96,0,interviewed turkey here what he had to say url thanksgiving
97,1,planned on an early night last night oh yaa course that happened gotinterupted
98,1,user your last retweet though
99,1,matches are just so fun
100,1,just loveee bein short and having my sweatpants go all the way under my feet its so fun pileofpoo
101,1,love waking up at am on saturday morning after going to bed at midnight
102,1,day where ruled user got followed by user wht day lollllll
103,0,jusuf nurkic bulls rt user he clearly has lot of talent kind of amazing that denver got him and gary harris for mcdermott
104,0,don even have progress on my thesis tas preparations for our event this thursday wearyface
105,1,gym and are gonna have reeeaaalll nice date tomorrow vsfs
106,0,sony pulled movie bc we re scared of country that can even keep its lights on at night even motel can do better than that zing
107,0,had nice hour nap picking up my chinese take out and set to watch user added water chestnuts to my dinner
108,0,user user the bears are probably the worst franchise in football at the moment
109,1,so pissed off at chicago like the people at the airport ruined so many peoples chances of ever meeting the boys way to go
110,0,hell has frozen over literally texas
111,1,can you write your name on paper and take picture can but busy answering this question oh url
112,0,its marshmallow world in the winter musicalnotes
113,1,taking the bike through rainy and cold dark streets to the dentist yaaaay somuchfun
114,1,reading about barack obama in the barack obama plaza moneygall oh the url
115,0,that is the face of tired man hahahahah
116,1,we want turkey
117,0,user happy to be of some small service user user
118,0,choose your words carefully hurting someone feelings is not the right way to go
119,1,what joke thanks for the detailed response and communication with your customers user user
120,0,user asalamoalekum kesay mizaj thank you so much it was posted on nd december already there
121,0,feeling artsy tonight artsy homealone vienna studentlife user apartment url
122,0,showed mom this picture of me and user says this is grunge and she goes haha love it momgoals url
123,0,user explains why inter went all calciopoli over juventus
124,0,pray god comes back in america and saves us all
125,0,libby lane appointment women bishops debate over the appointment of the reverend libby lane as the url
126,0,sad that when someone drinks they treat you like shit and won talk to you
127,0,we provide structure that ensures you will successfully invest in real estate url user
128,0,user ask liberal and he will tell you obama got us out of iraq and won the afghan war and no one ever died under his watch
129,1,why am sick looks at other tweets oh yeah sex lame
130,1,working double on hours of sleep here we go let get it
131,1,for those of you that love this time of year url
132,1,in other news havent had good nights sleep in week feel great
133,0,the pure reality of url
134,0,diy change your mobilecover every day now enjoy url
135,1,happy nd anniversary to me in sgv happy ot here in client woohoo loooooove my job super more years to go
136,0,user cause of all the things in life this seems to be in balance music medicine user doctor superdaylineup
137,0,user user guess that means msm will dig something up to smear barkley now ferguson
138,0,jimi agbaje is fine man in respect to public service what notable landmark has he achieved tested jimi url
139,1,user good thing we had enough whitewine and christmastrees to survive if needed chardsohard fashion
140,0,user why all the delays happy
141,1,the fun part about am drives in the winter is no one has cleaned the snow yet
142,0,miss the days when all my close friends lived in the same city
143,1,so it claimed that of all russian athletes take performance enhancing drugs there is surprise
144,0,user is that
145,1,shoutout to my mom for being hella supportive of me
146,1,user you may also see flags of isis with him is this govt and ch nisar don admit
147,1,user that funny
148,0,do you want more period related post or do you like how post some personal things here on instagram url
149,0,url analscreen exotic exotic brunette gets her little tight butt nailed right on the office desk
150,1,user what time is the ufc press conference tomorrow with names of numerous fighters getting cut
151,0,terror on high seas fishing boat allegedly from pakistan blows up at sea url
152,0,what matters to me is gym holidays work the hell out url
153,1,like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it
154,0,user hate it go back to the old format please
155,0,user its week joke have with jessica and my niece raisinghands
156,0,user you seriously bought giant tv to play in the box
157,1,haha who the fuck says that to someone truegentlemen
158,0,if you don want hall to eventually ask for trade then hope for consistency in the message change too much you might as well start over
159,0,user user wow that here though sorry grandpa we use mac these days
160,0,user liked the first one never cared enough to watch the sequel that said will only watch the reboot because of chrispratt
161,0,working blues enough vacation days url
162,0,user the badger crusade continues gloucestershire badger patrols triggered by illegal trapping fears url
163,0,user also support instantly murdering year olds with fake plastic guns in public parks
164,0,auntie just called and said shes on her way better get dressed then astonishedface
165,1,ahhh bedtimes how ve missed you examproblems
166,0,nerd piccollage having bit of fun with georgia nerd chistmas sillybilly user chilling on my comfy url
167,0,user think it was the hotel owners
168,0,user one day want to travel with my bestfriend australia url done did traveled da world user
169,1,user user user again fans come second thanks again
170,0,when you return in kind then so called friends label you as being unkind
171,0,sometimes just dont understand anything stubborn url
172,0,that was the cutest thing ever eyes
173,1,oh how love that my ass is too big to fit into my jeans anymore bigbootybitches
174,1,user doesn lucky and fortunate mean the same thing
175,0,enjoy stealing my husband hat every once in awhile eyes flushedface heyyall goodmorning url
176,0,user user user his tweet in the context of his history is what makes it clear bait
177,0,insanity is doing the same thing twice and expecting different results
178,1,hours sleep yay loving life
179,1,wow look at you hotshot isthatajoke
180,0,user can wait to play the bfhardline beta with you xd epic
181,1,contemplating responding to user tweet saying what remains of their pride but not sure how well that will go down
182,1,having to be up in four hours sounds great
183,1,oh and now the district line has major signal failures and delays fantastic
184,1,user user user sure that will end well
185,0,country music photo editing my type of morning musicalnotes
186,1,lol micromax is promising that service url
187,0,its so hard to choose between the pleasure and the pain girl december love dream strong url
188,1,user adrian was raised that way and he made it to the nfl maybe he thought that would motivate his kid to get there too
189,1,she heard him cry and his little fingers toes were counted and mary exclaimed he perfect oh mary you so cray cray
190,1,my secret name is lizard squad like to ruin people fun time follow and rt to billion and you ll have fun psn giveitup
191,1,sexist article in the daily fail about men wasting money on cycling accompanied by recommendation for handbag costing
192,0,user you tweet about having flip phone now that the definition of
193,1,user yea we was we too only couple schools played black not its black dominate game
194,0,don forget to join user for steak night tonight starting at pm nyc food foodie
195,0,user user don think ve ever seen love actually all the way through tried once last year don remember it
196,0,user user user my nephew stopped lot his long hair looks like drug dealer never smoked anything pills not an aspirin
197,0,qz asks permission to takeoff towercontrol of surubaya yeah can go away
198,0,user user answer more than artists
199,1,user user not playing out in the provinces like oh mississippi
200,0,church sign of the day how would you feel if we celebrated your birthday without you speak no evilmonkey stoleem
201,1,user user it has the word man in it just as sexist as saying mail man instead of mail carrier michiganman
202,1,did you know if you are reading this right now you are not blind lol
203,0,user user yeah we wont talk about how the bodies of the cops killed in bk were ambulanced immediately elitism at its finest
204,1,love this weather
205,0,user psssst you spelt thing wrong
206,0,url what day is the sabbath follow jesus christ fbc fbcjax url
207,0,tough day in sun kitsch funny user costa teguise lanzarote url
208,0,user if user exclude bf maps from the poll am going to riot really want seine crossing back would pay for it
209,1,love hour shifts wearyface wearyface wearyface
210,1,the whole misogyny thing is hanging in there with women from the right cat fight now imagine pulling that on the left pmlive
211,1,yea yea that logical
212,0,over on cbs at noon is balvsmia fox has seavsphi after the saints nfl
213,1,so aaron sorkin goes on user to talk about not liking the media talking about sony hack using media to bitch about media
214,0,you have no argument because you re insane user user user user user user
215,1,remember the only way ppl listen is if you burn down their stores ferguson vitoandvito waarmedia tcot ycot
216,0,my fingers smell like lavashak
217,0,notcies eu juncker receives birthday surprise one million signatures opposing ttip and ceta url
218,0,forever young forever out forever in our hearts rip user user
219,1,last day in naples with my emma girl palmtree sun wksandcounting url
220,1,say no more bigclub url
221,0,user anytime cash is acceptable every where and can be used toward whatever they want need
222,1,user nah it better we all act like the north korean govt and police people private thoughts
223,0,user my year old got it for me think macy url
224,1,blowing your nose so hard your ears pop is the greatest way to start wednesday
225,1,today court proceedings allowing prisoners access to books in england wales surely confirms it time to limit judicial review
226,1,yay love being awake at in the morning grinningface pistol
227,0,off to slow start this morning wearyface
228,1,user getting power from wind is so outdated and unsightly we should be siphoning it directly from the sun by now
229,1,really looked forward to waking up this early for finals
230,1,oh how love listening to fox news in the background while opening presents
231,1,those bad anonymous and occupy people did it all because they support white supremacy
232,1,user user well that completely well reasoned and thought out argument you ve changed my mind ferguson
233,0,user yeah no still laughing it not even that funny and still laughing
234,0,user user gotta be joke about tootin horn somewhere
235,0,gotta go out with him and the third forth fifth wheels winterthought
236,1,cc user my last tweet wayne world is great movie
237,0,user user zero place for that when the karma train finds raiola hope it has full head of steam
238,0,earn cash by posting tweeting url get started at url lol
239,1,oracle on windows this should be fun
240,1,last day of classes trill except finals whoop
241,0,you blame him for everything else user user user user user user user
242,1,with dropping oil prices thank goodness pmharper has worked so hard trying to tie our economy to the oil gas sector cdnpoli
243,0,when singing along to songs in korean and there is part in english sing it with korean accent why
244,0,save your work folks offically cntrl alt deleting this week
245,1,glad andy can tweet all day but not text me back loved
246,1,when some masseuses offer soothing massages the way reviewers offer stinging criticisms masseuse reviewer massage criticism
247,0,user it shows you that apc is free and fair party run by intellectuals and this is what we call democracy dictatorship
248,0,user user user how dare you accuse me of being boomer
249,0,hungry and hungover good day
250,0,oi na how am functioning right now sleepdeprived
251,0,user literally do not know
252,1,user user what does pti do apart from whining youthiacrasy
253,1,true url
254,1,user user user tells someone to spell correctly while completely fucking up his tweet
255,1,my solo costume so far is charcoal grey bottoms making some real progress
256,1,pay ghost soldiers in iraq cut pay of us military keepyourpromise user user user url
257,1,but then it started itself and made the windows noise so starts this exciting day of mine
258,0,user me and you are the only ones that love it santaclaus partypopper musicalnotes
259,0,in need of rose winee wineglass wineglass
260,1,yesterday peshawarattack was top tag and today the only thing twitter nation seems to be concerned about is ptikeptpakfirst
261,0,my whole life is just oh ok
262,0,leg snapped alike twig and after completed my front flip screamed like hungry newborn baby
263,0,succes it is about what we see if we just keep hope and never give up success is url
264,1,can already tell today is going to be wonderful day
265,1,user user junior got rim shot for rim job joke
266,0,found out the reason that weekend closer makes my life miserable is because atheist hypocrite atheistproblems serverproblems
267,1,staying casual monday funday ootd fashion style todayimwearing url
268,0,user so so problematic god bless her it shame what ve we done to pakistan
269,1,torturereport trending wasn aware rowling released her new book
270,1,user user too sad local now
271,1,user wtf thanks for saying bye
272,1,ahh gotta love those december electric bills
273,1,dead why is this stupidest of memes still perpetuated
274,1,when someone with retrica wali picture complains about how many filters someone has used in their picture to look pretty
275,1,great ve got lung infection this is fun notfun miserable
276,1,jeez it lovely morning out dashingaway droplet sweatdroplets thumbsdown ireland december
277,0,user need spot for my birthday
278,0,user don think know
279,1,love when people leave their smelly shoes in my car it makes my car smell great
280,1,user what the rush his leg is still attached right dr dabo
281,1,mph winds make great hair fan for photo shoot
282,1,gotta love working the day after christmas smellya
283,1,is have to go my gelding is struggling with dystocia valid excuse just want to see the lack of reaction whenyouseeit
284,1,user love the gamergate concept of harassing and spamming porn at any critics as proof that you re not hate group
285,1,the thing love the most about coming into work early having everyone ask me why here so early gets me every time annoying
286,1,thanks user for nothing all my family were flying with you from kl to attend my wedding everyonecanfly
287,0,user user he didn know that before putting him there they all reck our country pdp clans do not deserve another day even months
288,0,user could do with someone making me hot chocolate right now ahaha
289,0,me at restaurants is there wi fi me at beach is there wi fi me at family parties is there wi fi me in hell is there wi fi wifi
290,1,love it when your typing at work and spider comes out from the keyboard and hangs out between your fingers see no evilmonkey
291,0,don text and drive either url url url
292,1,user user really unbelievable mean he was thug criminal
293,0,always gonna be an uphill battle sometimes gonna have to lose
294,1,today don feel like doing anything
295,0,url in light of the murders of two nypd officers inspired by icantbreathe should url
296,0,user he def came out the closet on that and dunk rudygay
297,1,people at my school only talk about sex and drugs so awesome
298,1,perfect time to get really sick tiredface
299,1,user funny
300,0,the hardest thing knowing having the faith to keep going url
301,1,bush fully informed of cia methods url no really shocking
302,0,your jedi mind tricks don work on me service guy glad dropped the car off for the oil change instead of av
303,1,often worry that wealth doesn have enough influence in society so pleased to see this being addressed url
304,0,user user women say man asltd them so long say sumtin the young where the parents hotel wit grn ass man smh
305,0,some new vinyl on the turntable tonight here to you joe user joestrummer sandinista url
306,1,user who you calling bottle job ll take teeth yeah game mate at training tonight too ll remember your hat
307,0,to all those who held back in start again in as user it never too late to start url
308,1,so funny
309,0,song of the day love like winter fire inside
310,1,thank you occ for being concerned enough about my safety driving to school to cancel classes
311,1,oh sprints love you url
312,0,jax it is finnished url honor fallenheros in jax url url
313,1,heading to my nanas place its going to be so fun
314,1,big thanks to my teachers for the four tests have to take tomorrow woohoo
315,1,last semester dropped class because had to write pg paper this semester ve had to write of them
316,0,user its my workhorse practically glued to my hand url
317,1,prevents blood clots more like stops blood circulation attractive url
318,0,bet that was limbs in the sunderland end
319,1,thanks mother nature you didn give us as snow day and now my twitter is filled with people complaining
320,1,you know it going to be great day when you re garmin resets itself and you spill some cinnamon down yourself slowclap
321,0,user they are all written out in gold gel pen waiting hate how are relationship consists of twitter messaging fulfilling
322,0,user you need to it an experience to say the least
323,0,user user johny ur cracking me up on facebook chatting up my mate
324,1,user weeeeee you too love that xbox live and playstation network are down due to hackers on christmas
325,1,bidu up officially announced uber stake bidu has market cap of billion uber should top that in next vc round right
326,0,check this out so ugly christmas sweater ebayipad url
327,1,just love not being able to sleep sotired
328,1,user so psn and xbox live are both down on day many people get new video games north korean hack tiredface
329,1,user tried to cut and paste tweet from sa mining where they got go green consulting it in my timeline
330,1,seriously loveeeee how much you care
331,1,you know what awesome when all your gear sliders dolly monitor etc gets delivered user the end of filming
332,0,dayumm chtis brown is ma maaayuun url
333,0,user now tomorrow productivity at work would be hampered getmetoevc
334,0,user stay faithful or stay single
335,1,absolutely love waking up to snow
336,0,user user believe we have that we suck
337,0,yes was the reply these are public dollars being used what with this lack of transparency around union pearson express topoli
338,1,user user user user the jets have pick in the draft the irony blows my mind nfldraft
339,1,user like need to be reminded of bp cup competition dates
340,0,user user user awesome and well deserved
341,1,user user user yes vote for satan user in
342,0,moron no one has ever said ball is square strawman user user
343,0,your friends will bring you down because they fucked up what they had males females me fool
344,0,user user thats quite an interesting number coz managed to read only but will surely make it in
345,1,user and we know abt the goal that never crossed the line holierthanthou henryisalegend
346,1,user isnt it obvious sadhvi case and rape cases are different things you cannot co relate both thngs to sentence
347,1,aw thanks mother nature merry christmas to you too
348,1,what an eventful day
349,0,day joyous day picture speaks for itself costateguise beach peace nd home url
350,0,user user no it isn wr are dime dozen and completely replaceable which is why the packers won overspend to retain him
351,0,japan abe gets the mandate he wanted but the recovery he wanted japan prime minister shinzo url
352,1,got tampons url
353,1,for those who can hear us user talks about nb power record number of outages
354,0,globalwarming would be nice right now if it were only true call algore burn money christmas ｆｏｌｌｏｗ url
355,0,user you truly are my son
356,1,just love question tests in the morning
357,0,at url sketch today spudshed fresh fruit only for eating for drawing as well drawing perth
358,1,user won our national hockey expert at sussex drive join you
359,0,this is what looks like right url
360,0,has user user shown up to speak with zemirbegic family yet
361,1,let all do only squats and deadlifts until we hurt ourselves really really good trainers
362,0,bbc news thailand crown prince wife resigns from royalty url
363,0,first photos of the infiniti vision gt concept emerge url
364,0,user racism is pooled in liberal democrats democrats must foment racism and division to maintain control divide and conquer
365,1,user so this topless feminist was just looking for someone to love
366,1,user feel bad for the american people now we should invade their country in kill their children so we can save them
367,1,such good friend url
368,1,user wow that is just so funny
369,1,just flossed and then ate right after inconvenient
370,0,user no reasons given some waited expecting call but only found they were not chosen from media announcement
371,0,user ill see if can winkingface
372,0,sysdig cloud the fascinating world of linux system calls reminds me of my solaris dtrace days in early url
373,0,really need to get my nails and eyebrows done tomorrow been slacking on that cool nailpolish
374,0,user one of those obvious when you see it but oh so clever ideas glad you approved
375,0,replurks acatholicprayer lord jesus christ son of god have mercy on me sinner catholic prayer url
376,1,bet its warmer in nova scotia today frio cold freezing costadelsol ilovecanada
377,1,bbc news new forest road safety campaign donkey killed by car url
378,0,suppose best move my arse to the gym anything to put off wrapping presents confusedface wrappedgift christmas chore
379,0,thanks for the awesome support on our instagram page much appreciated url women motivation rolemode
380,0,adapted the snoopy comic for academic paper submission reviewer is the stuff of nightmares url
381,1,kind of love how got voicemail from my seat neighbor wondering where was yet they constantly sell their ticket never ask
382,0,happy new year to meeeee url
383,0,user georgia nativity play in the morning too
384,1,sanjay dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it
385,0,who eating everything on the table for noche buena
386,0,let get another big win vols bball and keep it going volnation beatncstate
387,0,you can spit on rose but it still rose contempt mockery
388,1,user if you don want to upgrade your ios or keep many pictures yeah it great
389,0,user alert please change this its me nowplaying relentlezz user who be tune in url
390,1,half the world is starving the other half is struggling to lose weight sickworld
391,0,user liked don regret anything that made you smile ha ha
392,0,dats how kno its winter url
393,1,like creepy guys that ask me random questions at swic
394,1,someone stop obama usa only should have relations with human rights loving nations like saudi arabia not terrorist cuba cuba
395,0,watch father and not his daughter fuck url old young father and
396,1,user no voting somebody in because they re from latvia is way more important than voting for the best players
397,1,marvin lewis clearly thinks very highly of johnny football norespect user
398,1,finals week is draining my body so much that it ruining my life in other places lovely
399,1,about to write my math final really excited somethingrandom url
400,0,just pulled up to school for the first time in my life in good mood only to find out it doesnt start for another hours blessed
401,1,dragging her feet smacking her lips and scowling at the empty street while screaming into the phone such grace frowningface
402,0,have to say that misty with johnny mathis is one of my favourites url
403,1,user user the only scary bollywood film ve watched is bhootnaath
404,0,read at url the news middle east updates assad us led airstrikes serious or efficient
405,1,love working hard trying to fix other people fuck ups
406,1,went neck deep in swamp today so that was fun chilly
407,0,and that wrap for shows kiddies ending in the berkshires bosel model
408,0,gonna need state to play little better but loving seeing this team in action with beckthies url
409,0,url analqueenalysa four four girls lot of drinks and few strap on that
410,1,nothing like waiting at an airport youcanthearit
411,1,love my customers annoying stoptalking
412,1,user user better bust out my aluminum hat growup
413,0,just one of those nights pensiveface
414,1,user why university always helping
415,1,that one time didn feel in over my head
416,1,user user we must be tolerant and embrace the peaceful islamic faith muslims are our peaceful brothers
417,1,today ll lecture on crm investments shareholder value so excited smirkingface sleepy sleepingface
418,1,can wait for the hour drive back home betarocks
419,1,left my lunch at home swansea canteen outdoing themselves with this generous and well priced portion of food url
420,1,user oh that sounds like great plan user user
421,1,double standards are always fun thing
422,0,it has been seen www monstermmorpg com since parados by monstermmorpg bean
423,0,maybe different proposals the girl is wearing different shoes and the guy is wearing different coat user user
424,1,so far today burned my tongue on my coffee saw dead guy on the freeway and chipped the windshield in the truck
425,0,ceeeeebz work allow dat ting fam
426,0,had no sleep and have got school now happy poutingface
427,1,love love love how the left side of my face is swollen poutingface
428,1,user nice to see you admit your errors slightly different from your earlier stats for user
429,0,there are things we are made to go through to harm us but to given us lesson to teach to someone weaker
430,1,user the good old days
431,0,mirror mirror on the wall when will find happiness
432,1,that always great way to boost self esteem
433,0,pretty sure have snowman problem
434,1,watching my grandparents and my parents pay all these bills really excites me for the future
435,1,yeah nice hair babes url url
436,0,user user didn carolina beat tampa bay the picks sheet has tb winning
437,0,user guess not stop insulting me
438,0,tripped over my own feet three times in the hall soclumsy
439,1,feel like crap today so instead of redbull drinking something healthy newyearnewme
440,1,about to fuck up this media exam actuallyihopeso
441,0,almajmoua participating in the th csr forum lebanon togetherwegrow for profit microfinance supporting url
442,0,whoever runs yeovil town fc twitter account should be fired their starting line up looks like mxit fantasy league team
443,1,teen named bud weisser was arrested by cops for breaking into st louis party store url
444,1,user at the same length we should not forget about the fundamental communal sanghi hindu fanatic rss in our backyard
445,1,user electricity generated in kashmir can illuminate whole india pm but it only not illuminating kashmir
446,1,user british world champion in one of the most demanding popular sports on earth yeah of course being sarcastic
447,1,at least ve got spine cause can feel the pain in my back thinkpositive
448,1,mondaymorning pouring rain and am singing the most wonderful time of the year as walk to the office
449,1,hahahaha best asian style went to the group of pretty boys all wearing blacks suits with tie bow how stylish mama
450,1,why is paper so sharp someone should put ban on paper
451,0,user jonah hill is funny kevin hart will smith jim carrey sacha baron cohen
452,0,arizona court of appeals decides to retry milke thursday the arizona court of appeals ordered lower url
453,1,doubt this week could get any better
454,0,damned if you do url communication truth via user
455,0,should get out of bed now lol
456,0,some are really loving the criticism on zoella let it rest please wonder what you would do for some
457,0,user ll bring it to work the hoops one is hit url
458,1,user transfer fund of is given to nottingham forest team with transfer embargo
459,1,galliani already jumping into the changing room likely discovered what seedorf told him all along same thing pippo is saying now
460,0,user hey alex thanks for the support my fb page is url and success to you
461,1,people speaking of law to protesters who are fighting for justice themselves pat pti gonawazgo
462,1,ohh he can climb rope just like every other commando super talented takemeout
463,1,probably going to fail tomorrow yayy globalartisthma mtvstars one direction
464,1,user feeding your own flesh and blood making an alley way smell terrible same same ssarcasm thesun
465,0,is sleeping medication like ambien any better for you rt user this is what alcohol does to your sleep url
466,0,einstein would be amused about strider jumping around in time
467,1,love is bliss
468,0,last day in riga self finnishgirl businesswoman user pk riga hotel url
469,1,well my mornings going very nicely
470,1,sad don have christmas jumper thanks user for your super fast delivery thumbsup
471,1,love waking up at am everyday and then running miles favorite part of the army
472,0,germany ecb weidmann says german growth may be better than expected url via user
473,0,deal was negotiated between user gtaa that deal was is hidden built into the pricing of upx tix why all the secrecy topoli
474,1,user yup it must be good to be ivy league educated because it does alot of good
475,0,we live in such small world these days the lafire is story at the end of the australian news user
476,0,one from her please cries url
477,1,loving life
478,1,he was half of what she deserved yet he was all that she ever wanted
479,0,user user protest is not peaceful if its forcefully stopping me to earn my livelihood
480,1,most useful algorithm ve learned in class so far is finding substring by using the fast fourier transform
481,1,shakespeare is great pistol
482,1,where you our shamiwitness now user the gunman is also said to be monitoring social media activity sydneysiege
483,1,user another case of away the lads or to put it in song tell me why we don do north london tyneweirsunday
484,1,user you were decrying hate crime against bosnian man now you re back to your same old game inciting hate torwards muslims
485,1,user onelovefestival sat dec table bookings includes bottle mixers uh oh smell so much it lovely
486,0,user did you get fat on your honeymoon
487,1,hannity says obama has been indoctrinated into rigid ideology
488,1,lol my timehop guy though url
489,1,user and yeah set it at not because overworking your rookie pitchers is totally okay
490,1,putin praising constitutional court for defending against arbitrary action on the part of the government url
491,1,couldnt help myself am bad person url
492,1,love watching liverpool truly inspiring
493,0,added video to user playlist url modere beauty box review giveaway
494,0,off to search for christmas gift for my dad bc procrastination wrappedgift
495,0,have to say really excited about brendan fraser birthday tomorrow
496,1,that me the infamous pepper shaker replacer
497,0,save manage make money join for make discounts vacations and more url
498,1,lol at the eatenalive show if that the name of the show gotta do it not quit cause the snake was hurting his arm goodtv garbage
499,1,cia report highlighting the stark differences the present former administrations approach to nat security
500,0,you guys seriously need to try this game url bananabonanza
501,1,user thanks for noticing me
502,1,well weekend is over now it twittertime again have nice monday
503,0,so glad to be off work
504,0,user user user whenever write anything with the word immigration in it happy if there back and forth
505,0,user gunna sit here and
506,1,user they were probably contracted to work for free
507,1,user yay another outage in less than hours keep up the good work
